"Trial","Seed","DurationSec","SpeechFile","SpeechSpeaker","SpeechOffsetSec","NoiseCount","Noise1File","Noise1Fold","Noise1Category","Noise1Source","Noise1OffsetSec","Noise2File","Noise2Fold","Noise2Category","Noise2Source","Noise2OffsetSec","InputSNRdB","SensorNoiseSNRdB"
"1","2026081801001","4.0","LibriSpeech/test-clean/8230/279154/8230-279154-0042.flac","8230","13.77695","1","ESC-50-master/audio/2-109759-B-26.wav","2","laughing","109759","0.03935","","0","","","0.0","-10.0","30.0"
"2","2026081801002","4.0","LibriSpeech/test-clean/4992/41797/4992-41797-0007.flac","4992","0.163682","2","ESC-50-master/audio/2-52001-A-28.wav","2","snoring","52001","0.42587","ESC-50-master/audio/1-49409-A-8.wav","1","sheep","49409","0.900519","-5.0","30.0"
"3","2026081801003","4.0","LibriSpeech/test-clean/4970/29095/4970-29095-0036.flac","4970","1.056938","1","ESC-50-master/audio/1-51805-H-33.wav","1","door_wood_creaks","51805","0.005921","","0","","","0.0","0.0","30.0"
"4","2026081801004","4.0","LibriSpeech/test-clean/8230/279154/8230-279154-0043.flac","8230","2.703645","2","ESC-50-master/audio/2-96063-A-37.wav","2","clock_alarm","96063","0.429861","ESC-50-master/audio/5-254832-B-15.wav","5","water_drops","254832","0.566273","5.0","30.0"
"5","2026081801005","4.0","LibriSpeech/test-clean/7729/102255/7729-102255-0008.flac","7729","13.757379","1","ESC-50-master/audio/1-1791-A-26.wav","1","laughing","1791","0.268604","","0","","","0.0","10.0","30.0"
"6","2026081801006","4.0","LibriSpeech/test-clean/8455/210777/8455-210777-0003.flac","8455","3.136076","2","ESC-50-master/audio/3-159445-B-45.wav","3","train","159445","0.092525","ESC-50-master/audio/2-102414-C-17.wav","2","pouring_water","102414","0.099612","-10.0","30.0"
"7","2026081801007","4.0","LibriSpeech/test-clean/8463/294828/8463-294828-0014.flac","8463","0.108787","1","ESC-50-master/audio/3-171012-A-38.wav","3","clock_tick","171012","0.770841","","0","","","0.0","-5.0","30.0"
"8","2026081801008","4.0","LibriSpeech/test-clean/8555/284447/8555-284447-0019.flac","8555","5.927444","2","ESC-50-master/audio/2-151079-A-20.wav","2","crying_baby","151079","0.097652","ESC-50-master/audio/2-81270-A-1.wav","2","rooster","81270","0.32031","0.0","30.0"
"9","2026081801009","4.0","LibriSpeech/test-clean/237/134500/237-134500-0039.flac","237","0.236401","1","ESC-50-master/audio/4-189832-A-22.wav","4","clapping","189832","0.854856","","0","","","0.0","5.0","30.0"
"10","2026081801010","4.0","LibriSpeech/test-clean/5639/40744/5639-40744-0022.flac","5639","7.784314","2","ESC-50-master/audio/2-83934-A-5.wav","2","cat","83934","0.150848","ESC-50-master/audio/2-78651-A-44.wav","2","engine","78651","0.770675","10.0","30.0"
